feature,importance,abs_importance
median_income,0.4908326799380544,0.4908326799380544
ocean_proximity_INLAND,0.14050331323383775,0.14050331323383775
longitude,0.10510105943993044,0.10510105943993044
latitude,0.10205529586806532,0.10205529586806532
housing_median_age,0.052295442479131794,0.052295442479131794
population,0.03230368850542865,0.03230368850542865
total_bedrooms,0.02439324525841834,0.02439324525841834
total_rooms,0.023451401261973467,0.023451401261973467
households,0.018720185034099387,0.018720185034099387
ocean_proximity_NEAR OCEAN,0.009098204539164578,0.009098204539164578
ocean_proximity_NEAR BAY,0.0008612649082664737,0.0008612649082664737
ocean_proximity_ISLAND,0.0003842195336295797,0.0003842195336295797
